Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
羸弱的流民,Dân Tị Nạn Yếu Ớt,,,,tên riêng (tự điền)
羽未,Umi,,,,tên riêng (tự điền)
翁贝托,<color=#dc0300>2</color><color=#0150dc>/3</color>,,,,tên riêng (tự điền)
翔太,Shota,,,,tên riêng (tự điền)
翠翠,Thúy Thúy,,,,tên riêng (tự điền)
翡奇,Fiqi,,,,tên riêng (tự điền)
翡萨烈的成员,Thành Viên Fesalette,,,,tên riêng (tự điền)
翡萨烈老家主,Lão gia chủ Fisale,,,,tên riêng (tự điền)
翱翔测试邀请,Lời Mời Thử Nghiệm Bay Lượn,,,,tên riêng (tự điền)
老乡绅（男）,Lão Hương Thân (Nam),,,,tên riêng (tự điền)
老五,8777,,,,tên riêng (tự điền)
老五副手,Phó Thủ Lão Ngũ,,,,tên riêng (tự điền)
老五小弟,X,,,,tên riêng (tự điền)
老人,MAX,,,,tên riêng (tự điền)
老人的回响,<ano=Remnant>Dư âm</ano> của Ông Lão,,,,tên riêng (tự điền)
老人的幻影,Ảo Ảnh Ông Lão,,,,tên riêng (tự điền)
老大爷,Ông Lão,,,,tên riêng (tự điền)
老太太,Bà Lão,,,,tên riêng (tự điền)
老头,Ông Lão,,,,tên riêng (tự điền)
老家主的执念,Niệm chấp của lão gia chủ,,,,tên riêng (tự điền)
老岳头,Lão Nhạc,,,,tên riêng (tự điền)
老布,Lão Bố,,,,tên riêng (tự điền)
老师,Giáo Viên,,,,tên riêng (tự điền)
老年女性,Người Phụ Nữ Lớn Tuổi,,,,tên riêng (tự điền)
老年幻影,Ảo Ảnh Người Già,,,,tên riêng (tự điền)
老年男性,Người Đàn Ông Trưởng Thành,,,,tên riêng (tự điền)
老旧的芯片,Vi mạch cũ kỹ,,,,tên riêng (tự điền)
老板娘,80,,,,tên riêng (tự điền)
老汤,Yangyang,,,,tên riêng (tự điền)
老派的贵族,Quý Tộc Cổ Hủ,,,,tên riêng (tự điền)
老焙,Lão Bồi,,,,tên riêng (tự điền)
老爷子,"""Ông Nội""",,,,tên riêng (tự điền)
老爷爷,Ông Lão,,,,tên riêng (tự điền)
老甘,Lão Cam,,,,tên riêng (tự điền)
老程,<ano=Rover>Rover</ano>? Cái tên này cũng dễ nhớ đấy.,,,,tên riêng (tự điền)
老练的军人,Quân Nhân Lão Luyện,,,,tên riêng (tự điền)
老练的夜归士兵,Binh Sĩ Dạ Quy Lão Luyện,,,,tên riêng (tự điền)
老练的定玄卫,Định Huyền Vệ lão luyện,,,,tên riêng (tự điền)
老练的工匠,Thợ Thủ Công Lão Luyện,,,,tên riêng (tự điền)
老练的工程师,Baizhi,,,,tên riêng (tự điền)
老练的流放者,15,,,,tên riêng (tự điền)
老练的罗伊商贩,Thương Nhân Roy Xảo Quyệt,,,,tên riêng (tự điền)
老练的职员,Tên Vùng Vô Thanh,,,,tên riêng (tự điền)
老练的莫塔里成员,x99,,,,tên riêng (tự điền)
老练的角斗士,Đấu Sĩ Lão Luyện,,,,tên riêng (tự điền)
老者,Jiyan,,,,tên riêng (tự điền)
老者的幻影,Yangyang,,,,tên riêng (tự điền)
老者的虚影,Ảo Ảnh Của Lão Giả,,,,tên riêng (tự điền)
老角斗士？,Đấu Sĩ Già?,,,,tên riêng (tự điền)
老邓肯,6,,,,tên riêng (tự điền)
老邓肯（通讯中）,Lão Duncan,,,,tên riêng (tự điền)
老金,Lão Kim,,,,tên riêng (tự điền)
老雷,Lão Lôi,,,,tên riêng (tự điền)
考利,Culley,,,,tên riêng (tự điền)
考尔内,Corney,,,,tên riêng (tự điền)
考托雷,Cottore,,,,tên riêng (tự điền)
考核用机傀,Cơ Khôi dùng để khảo hạch,,,,tên riêng (tự điền)
考砸的学生,Học sinh làm bài kiểm tra tệ,,,,tên riêng (tự điền)
考诗,Khảo Thi,,,,tên riêng (tự điền)
耐力补给,888,Stamina Recharge,,,tên riêng (tự điền)
耐心制剂,Baizhi,Formulation of Patience,,,tên riêng (tự điền)
耐心原液,200,Solution of Patience,,,tên riêng (tự điền)
耐心合剂,/,Compound of Patience,,,tên riêng (tự điền)
耐心的物流员,Nhân Viên Giao Hàng kiên nhẫn,,,,tên riêng (tự điền)
耐心试剂,<ano=Rover>Rover</ano>,Reagent of Patience,,,tên riêng (tự điền)
耶伦,Yellen,,,,tên riêng (tự điền)
耶列尔,Yereel,,,,tên riêng (tự điền)
耶尔薇,Yelva,,,,tên riêng (tự điền)
聆笛,Linh Địch,,,,tên riêng (tự điền)
职员,Nhân Viên,,,,tên riêng (tự điền)
联络人名录,Danh Bạ Liên Lạc,,,,tên riêng (tự điền)
联觉经验,Lingyang,Union EXP,,,tên riêng (tự điền)
聪慧的尼古拉,Nikolas Thông Minh,,,,tên riêng (tự điền)
聪文,Thông Văn,,,,tên riêng (tự điền)
聿禾,"<ano=regiment>Đoàn trưởng Lingyang</ano>, đừng <ano=Heartpour>lo</ano>. {PlayerName} rất mạnh; {TA} có thể làm được những việc các <ano=Resonator>Cộng Hưởng Giả</ano> khác không thể.",,,,tên riêng (tự điền)
肖帆,Xiaofan,,,,tên riêng (tự điền)
肥胖的残星会成员,"Làn sương lan ra từ sâu trong <ano=Mines>khu mỏ</ano> không chỉ làm hỏng <ano=equipment>thiết bị</ano> thăm dò và khai thác, mà còn xâm hại sức khỏe thể chất lẫn <ano=Heartpour>tinh thần</ano> của công nhân.",,,,tên riêng (tự điền)
肯道尔,Kendall,,,,tên riêng (tự điền)
胆小的女教士,Nữ Giáo Sĩ Nhút Nhát,,,,tên riêng (tự điền)
胆小的平民,Dân Thường Nhút Nhát,,,,tên riêng (tự điền)
胆小的平民？,0000,,,,tên riêng (tự điền)
胆小的流放者,Yangyang,,,,tên riêng (tự điền)
胆小的流民,Dân Lưu Vong Nhút Nhát,,,,tên riêng (tự điền)
胆小的矿工,Thợ Mỏ Nhút Nhát,,,,tên riêng (tự điền)
胆小的迎宾声骸,Echo Tiếp Tân Nhút Nhát,,,,tên riêng (tự điền)
胆怯的女孩【D】,Cô Gái Nhút Nhát [D],,,,tên riêng (tự điền)
胆怯的女顾客,Nữ Khách Hàng Rụt Rè,,,,tên riêng (tự điền)
胆怯的日灵,Nhật Linh Nhút Nhát,,,,tên riêng (tự điền)
胆怯的青年,Thanh Niên Nhút Nhát,,,,tên riêng (tự điền)
背着吉他的女子【D】,Cô Gái Đeo Guitar [D],,,,tên riêng (tự điền)
背道具箱的女孩【舞台魔术师】,Cô Gái Đeo Hộp Đạo Cụ [Ảo Thuật Gia Sân Khấu],,,,tên riêng (tự điền)
胜茂,Thắng Mậu,,,,tên riêng (tự điền)
胡伯,Hubert,,,,tên riêng (tự điền)
胥白,Xubai,,,,tên riêng (tự điền)
胥白（通讯中）,Xubai,,,,tên riêng (tự điền)
胸有成竹的打手,Tay Sai Tự Tin,,,,tên riêng (tự điền)
能源学部男生,Nam Sinh Khoa Năng Lượng Học,,,,tên riêng (tự điền)
能源安全系统,Hệ Thống An Ninh Năng Lượng,,,,tên riêng (tự điền)
能源矿石。,Ta không đồng ý để Long Chủ tiếp tục tiếp xúc với Rover.,Energy mineral.,,,tên riêng (tự điền)
能量不足的准时宝,<ano=TARD-E>TARD-E</ano> thiếu <ano=energy>năng lượng</ano>,,,,tên riêng (tự điền)
脆皮烧鸽,New Text0000000000000000000000000,Crispy Roasted Squab,,,tên riêng (tự điền)
脆皮烧鸽食谱,03,Recipe: Crispy Roasted Squab,,,tên riêng (tự điền)
脉冲变星,Speaker_591_Name,Impulse Variable Star,,,tên riêng (tự điền)
脉冲变星兑换券,<ano=Impulse Variable Star Certificate>Phiếu Đổi Sao Biến Quang Xung</ano>,Impulse Variable Star Certificate,,,tên riêng (tự điền)
脚印,Dấu chân,,,,tên riêng (tự điền)
脱力的角斗士,Đấu Sĩ Kiệt Sức,,,,tên riêng (tự điền)
脱发的研究员,Nghiên Cứu Viên Hói Đầu,,,,tên riêng (tự điền)
脱离人性的怪物【集域之声】,Quái Vật Mất Nhân Tính [Giọng Nói Somnoire],,,,tên riêng (tự điền)
腼腆的女人,Người Phụ Nữ Nhút Nhát,,,,tên riêng (tự điền)
腼腆的少女,Thiếu Nữ Bẽn Lẽn,,,,tên riêng (tự điền)
腼腆的歌友会成员,Thành Viên Hội Bạn Hát Rụt Rè,,,,tên riêng (tự điền)
腼腆的男人,Người Đàn Ông Nhút Nhát,,,,tên riêng (tự điền)
自信的“流放者”,"""Kẻ Lưu Đày"" Tự Tin",,,,tên riêng (tự điền)
自信的面见者,Người Diện Kiến Tự Tin,,,,tên riêng (tự điền)
自然聆律,711/800,,,,tên riêng (tự điền)
自言自语声,Tiếng Lẩm Bẩm Một Mình,,,,tên riêng (tự điền)
自选升级材料补给包·技能,6,,,,tên riêng (tự điền)
自选材料包·拓扑晶砂,1,,,,tên riêng (tự điền)
自选材料补给包·拓扑晶片,6000,,,,tên riêng (tự điền)
自选突破材料补给包·武器,Speaker_317_Name,,,,tên riêng (tự điền)
自选突破材料补给包·角色,MAX,,,,tên riêng (tự điền)
致行,Trí Hành,,,,tên riêng (tự điền)
致远,"Tiểu Băng Sơn, đừng căng thẳng quá. Đây là khách của Long Chủ, {PlayerName}, vẫn luôn ở cùng <ano=We Are One>chúng tôi</ano> đấy.",,,,tên riêng (tự điền)
舒云,8,,,,tên riêng (tự điền)
舒云秘制凉茶,"Baizhi thích nghiên cứu những thứ thuộc về quá khứ, nghiên cứu câu chuyện đằng sau những thứ ấy, những câu chuyện đó đan xen với nhau, tạo thành ""lịch sử"".",Shuyun Herbal Tea,,,tên riêng (tự điền)
舒云秘制凉茶食谱,Công Thức Nấu Ăn <ano=Shuyun Herbal Tea>Trà Thảo Mộc Thư Vân</ano> (<ano=Herbal Tea>Trà Thảo Mộc</ano>; <ano=tea>trà</ano>),Recipe: Shuyun Herbal Tea,,,tên riêng (tự điền)
舒力,Shuli,,,,tên riêng (tự điền)
舒南,Thư Nam,,,,tên riêng (tự điền)
舒柏雷,8777,,,,tên riêng (tự điền)
舒瓦茨,Schwartz,,,,tên riêng (tự điền)
舒鸿,MAX,,,,tên riêng (tự điền)
舞狮头套的游客【潮流明星】,Du Khách Đội Đầu Lân [Ngôi Sao Hợp Thời],,,,tên riêng (tự điền)
船只管理员,Người Quản Lý Tàu,,,,tên riêng (tự điền)
船夫,Người Lái Đò,,,,tên riêng (tự điền)
艰难的角斗士,Đấu Sĩ Vất Vả,,,,tên riêng (tự điền)
艺典,Nghệ Điển,,,,tên riêng (tự điền)
艺虹,Nghệ Hồng,,,,tên riêng (tự điền)
艾丝翠德,Astrid,,,,tên riêng (tự điền)
艾克罗伊德,Ackroyd,,,,tên riêng (tự điền)
艾利斯特,Alester,,,,tên riêng (tự điền)
艾因,Ngải Nhân,,,,tên riêng (tự điền)
艾多克,Adric,,,,tên riêng (tự điền)
艾奥妮,Eirny,,,,tên riêng (tự điền)
艾妮,Annie,,,,tên riêng (tự điền)
艾妲,Ada,,,,tên riêng (tự điền)
艾尔玛,Alma,,,,tên riêng (tự điền)
艾尔维尔,Elvir,,,,tên riêng (tự điền)
艾尔维斯,Elvis,,,,tên riêng (tự điền)
艾尔芭,Albara,,,,tên riêng (tự điền)
艾尔薇拉,Elvira,,,,tên riêng (tự điền)
艾尔西,Elsie,,,,tên riêng (tự điền)
艾尼凯斯,Aniques,,,,tên riêng (tự điền)
艾德里恩,Adrien,,,,tên riêng (tự điền)
艾拉,Aila,,,,tên riêng (tự điền)
艾拉芙,Ellave,,,,tên riêng (tự điền)
艾斯克瑞,Eskri,,,,tên riêng (tự điền)
艾林,Ngải Lâm,,,,tên riêng (tự điền)
艾洛,Ello,,,,tên riêng (tự điền)
艾洛温,Eloween,,,,tên riêng (tự điền)
艾洛温（通讯中）,Elowen,,,,tên riêng (tự điền)
艾特莉米亚,Artmelia,,,,tên riêng (tự điền)
艾玛婆婆,Sinh Lực,,,,tên riêng (tự điền)
艾珀莱雅,Aporeia,,,,tên riêng (tự điền)
艾琳,Erin,,,,tên riêng (tự điền)
艾瑞乌斯,Aerius,,,,tên riêng (tự điền)
艾登马克,Eidenmark,,,,tên riêng (tự điền)
艾米,Amy,,,,tên riêng (tự điền)
艾米丽,Emily,,,,tên riêng (tự điền)
艾米娅,Aimia,,,,tên riêng (tự điền)
艾米娅（通讯中）,Amiya,,,,tên riêng (tự điền)
艾米莉亚,Emilia,,,,tên riêng (tự điền)
艾纳尔,Einar,,,,tên riêng (tự điền)
艾罗拉,Elora,,,,tên riêng (tự điền)
艾美达,Esmeralda,,,,tên riêng (tự điền)
艾芙琳,Evelyn,,,,tên riêng (tự điền)
艾莉亚,Aliya,,,,tên riêng (tự điền)
艾莉亚？,Aria?,,,,tên riêng (tự điền)
艾莎,Aisha,,,,tên riêng (tự điền)
艾菲,Effie,,,,tên riêng (tự điền)
艾萨克,Isaac,,,,tên riêng (tự điền)
艾蒂安,Étienne,,,,tên riêng (tự điền)
艾蜜,Amy,,,,tên riêng (tự điền)
艾许,Ash,,,,tên riêng (tự điền)
艾许莉,Ashley,,,,tên riêng (tự điền)
艾达,Ada,,,,tên riêng (tự điền)
艾里奥,Elio,,,,tên riêng (tự điền)
艾雷诺,Aireno,,,,tên riêng (tự điền)
艾露娜,Eluna,,,,tên riêng (tự điền)
艾顿,Eaton,,,,tên riêng (tự điền)
芊芊,Thiên Thiên,,,,tên riêng (tự điền)
芍心,Thược Tâm,,,,tên riêng (tự điền)
芒阿,Monet,,,,tên riêng (tự điền)
芙洛嘉,Floga,,,,tên riêng (tự điền)
芙洛斯特,Frost,,,,tên riêng (tự điền)
芙露德莉丝,Frudoris,,,,tên riêng (tự điền)
芙露德莉斯,Fleurdelis,,,,tên riêng (tự điền)
芜菁,Wujing,,,,tên riêng (tự điền)
芝琇,Chi Tú,,,,tên riêng (tự điền)
芥明,Giới Minh,,,,tên riêng (tự điền)
芥舟,Giới Chu,,,,tên riêng (tự điền)
芬奇,Finch,,,,tên riêng (tự điền)
芬妮,Fenella,,,,tên riêng (tự điền)
芬娅,Fenya,,,,tên riêng (tự điền)
芬尼,Finnley,,,,tên riêng (tự điền)
芬尼尔,Fenrir,,,,tên riêng (tự điền)
芬尼尔&达拉斯&布里,Fenrir & Dallas & Bori,,,,tên riêng (tự điền)
芬森,Finsen,,,,tên riêng (tự điền)
芬莱克,Finlek,,,,tên riêng (tự điền)
芬莱克&利维亚坦,Fenrick & Leviathan,,,,tên riêng (tự điền)
芬莱克、利维亚坦,"Finlake, Leviathan",,,,tên riêng (tự điền)
芬莱克的声音,Giọng Của Finlake,,,,tên riêng (tự điền)
芭娜娜,Banana,,,,tên riêng (tự điền)
芮思汀娜,Ristina,,,,tên riêng (tự điền)
芮秋,Rachel,,,,tên riêng (tự điền)
芮秋儿,Raechyl,,,,tên riêng (tự điền)
芮茜,Nhuế Tây,,,,tên riêng (tự điền)
花婆婆,Baizhi,,,,tên riêng (tự điền)
花店店主,Hiện không có Cộng Hưởng Giả xuất chiến,,,,tên riêng (tự điền)
花烈郎,Hoa Liệt Lang,,,,tên riêng (tự điền)
花蕈,Yangyang,Flower Shroom,,,tên riêng (tự điền)
花音,Kanon,,,,tên riêng (tự điền)
芹菜,Cần Tây,,,,tên riêng (tự điền)
苍弦,Thương Huyền,,,,tên riêng (tự điền)
苍老的声音,Giọng Nói Già Nua,,,,tên riêng (tự điền)
苍老的男性声音,Giọng Nam Già Nua,,,,tên riêng (tự điền)
苏卡利,Sukali,,,,tên riêng (tự điền)
苏妮娃,Sunnvea,,,,tên riêng (tự điền)
苏尔皮西亚,Sulpicia,,,,tên riêng (tự điền)
苏拉,Sula,,,,tên riêng (tự điền)
苏珊娜,Susanna,,,,tên riêng (tự điền)
苏珞,Tô Lạc,,,,tên riêng (tự điền)
苔丝,Tess,,,,tên riêng (tự điền)
苔丝娜,Tessna,,,,tên riêng (tự điền)
若云,Ruoyun,,,,tên riêng (tự điền)
若云（回忆）,Ruoyun (Hồi Ức),,,,tên riêng (tự điền)
若云（女孩）,Ruoyun (Thiếu Nữ),,,,tên riêng (tự điền)
若云（年幼若云）,Ruoyun (Thuở Nhỏ),,,,tên riêng (tự điền)
若云？,Ruoyun?,,,,tên riêng (tự điền)
若昂,João,,,,tên riêng (tự điền)
若有所思的学生,Học Sinh Trầm Tư,,,,tên riêng (tự điền)
若有所思的民众,Người Dân Trầm Tư,,,,tên riêng (tự điền)
若有所思的演员,Diễn Viên Trầm Tư,,,,tên riêng (tự điền)
若有所思的诗人,Thi Sĩ Trầm Tư,,,,tên riêng (tự điền)
若萤,Nhược Huỳnh,,,,tên riêng (tự điền)
苦信者集群,Bầy Khổ Tín Đồ,,,,tên riêng (tự điền)
苦思冥想的日灵,Soliskin Trầm Tư,,,,tên riêng (tự điền)
苦恼的前辈,Tiền Bối Phiền Não,,,,tên riêng (tự điền)
苦恼的天工匠,Thợ Thiên Công khổ não,,,,tên riêng (tự điền)
英格,Inge,,,,tên riêng (tự điền)
英格丽,Inger,,,,tên riêng (tự điền)
英格丽德,Ingrid,,,,tên riêng (tự điền)
英格俪德,Ingrid,,,,tên riêng (tự điền)
英梨子,Eriko,,,,tên riêng (tự điền)
英灵,Anh Linh,,,,tên riêng (tự điền)
英白拉多,Imperator,,,,tên riêng (tự điền)
英竺,"<ano=Present>Giờ</ano>, điều quan trọng nhất là Yangyang.",,,,tên riêng (tự điền)
英达,+88888%,,,,tên riêng (tự điền)
苹果摊主,Chủ quầy táo,,,,tên riêng (tự điền)
范塔·西,Van Tassie,,,,tên riêng (tự điền)
范德考克,Vandercock,,,,tên riêng (tự điền)
范托夫,Vantov,,,,tên riêng (tự điền)
茗伊,Tăng cường đến Lv.10 để mở khóa,,,,tên riêng (tự điền)
茗方,00,,,,tên riêng (tự điền)
茗茗,Yangyang,,,,tên riêng (tự điền)
茵奎尔,Inquel,,,,tên riêng (tự điền)
茵陈,Sinh Lực,,,,tên riêng (tự điền)
茶叶,<ano=Tea Leaves>Lá Trà</ano> (<ano=tea>trà</ano>),Tea Leaves,,,tên riêng (tự điền)
茶点摊摊主,Chủ Sạp Trà Bánh,,,,tên riêng (tự điền)
茶馆伙计,Nhân Viên Quán Trà,,,,tên riêng (tự điền)
茶馆客人,"4 món: Trong 120 giây, Tăng Công Kích 100%",,,,tên riêng (tự điền)
荆明,Kinh Minh,,,,tên riêng (tự điền)
荒坂狗,Chó Arasaka,,,,tên riêng (tự điền)
荒石工程师,Kỹ Sư Hoang Thạch,,,,tên riêng (tự điền)
荒石高地,10,Desorock Highland,,,tên riêng (tự điền)
荡秋千的孩子,Đứa Trẻ Đu Xích Đu,,,,tên riêng (tự điền)
荣安,+2222,,,,tên riêng (tự điền)
荣誉加身的角斗士,Đấu Sĩ Toàn Vinh Dự,,,,tên riêng (tự điền)
荣邱,+500,,,,tên riêng (tự điền)
荣青,{PlayerName}！,,,,tên riêng (tự điền)
药剂毁灭者【纯白之塔】,Kẻ Hủy Diệt Thuốc [Tháp Trắng Tinh Khiết],,,,tên riêng (tự điền)
荷光,Văn bản thử nghiệm,,,,tên riêng (tự điền)
荷衣,Heyi,,,,tên riêng (tự điền)
莉丝,Lis,,,,tên riêng (tự điền)
莉丝洛特,Lieselotte,,,,tên riêng (tự điền)
莉亚娜,Liana,,,,tên riêng (tự điền)
莉央,Riyo,,,,tên riêng (tự điền)
莉奥娅拉,Leola,,,,tên riêng (tự điền)
莉奥拉,Leora,,,,tên riêng (tự điền)
莉梅罗,Limero,,,,tên riêng (tự điền)
莉泽,Lize,,,,tên riêng (tự điền)
莉泽洛特,Liselotta,,,,tên riêng (tự điền)
莉维娅,Livia,,,,tên riêng (tự điền)
莉芙,Liv,,,,tên riêng (tự điền)
莉莉丝,Lilith,,,,tên riêng (tự điền)
莉莉妮,Lilini,,,,tên riêng (tự điền)
莉莉安,Lillian,,,,tên riêng (tự điền)
莉莉贝,Lillibet,,,,tên riêng (tự điền)
莉薇娅,Livia,,,,tên riêng (tự điền)
莎丽娜,Sharina,,,,tên riêng (tự điền)
莎乐美,Salome,,,,tên riêng (tự điền)
莎兰,Charlene,,,,tên riêng (tự điền)
莫克,Moke,,,,tên riêng (tự điền)
莫兰德,Morand,,,,tên riêng (tự điền)
莫凡斯,Movanth,,,,tên riêng (tự điền)
莫华,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
莫名的声音1,Mảnh Vật phẩm,,,,tên riêng (tự điền)
莫名的声音2,Giọng Nói Khó Hiểu 2,,,,tên riêng (tự điền)
莫名的声音3,-50%,,,,tên riêng (tự điền)
莫名的声音4,x9,,,,tên riêng (tự điền)
莫塔里的成员,Thành Viên Của Montelli,,,,tên riêng (tự điền)
莫声,Mạc Thanh,,,,tên riêng (tự điền)
莫妮卡,Monica,,,,tên riêng (tự điền)
莫妮卡（通讯中）,Monica,,,,tên riêng (tự điền)
莫宁,Morning,,,,tên riêng (tự điền)
莫宁&{PlayerName},Morning & {PlayerName},,,,tên riêng (tự điền)
莫宁（通讯中）,Mornye,,,,tên riêng (tự điền)
莫宁（通讯）,Mornye,,,,tên riêng (tự điền)
莫布利,Mobley,,,,tên riêng (tự điền)
莫斯托,Mosto,,,,tên riêng (tự điền)
莫杰洛,Mojello,,,,tên riêng (tự điền)
莫歆,"Kẻ Săn Mồi là Ảo Ảnh dạng người hình thường xuyên ẩn náu tại Khu Rừng Vô Quang, có dục vọng tấn công cực mạnh. Có thể tấn công khi tàng hình.",,,,tên riêng (tự điền)
莫洛,Molo,,,,tên riêng (tự điền)
莫特斐,Sửa tên Lữ Khách,,,,tên riêng (tự điền)
莫特斐的回音频段,"Người báo cáo: Nhạn Thư\nKể từ khi Triều Thú (năm 130 - 155) bắt đầu, Sương Mù bên trong hố sâu nằm dưới tầng đáy Dãy Núi Hổ Khẩu tăng vọt, Academy đã phát hiện một lượng lớn Tín Hiệu hoạt động của Wutheron tại vị trí này, đã nhiều lần phái đội thám hiểm đến hố sâu Điều tra, tuy nhiên tổn thất nhân sự nghiêm trọng, Dữ liệu mất mát, không thể thực sự thúc đẩy tiến độ điều tra.\nMục đích thám hiểm lần này một là tiếp tục điều tra Sương Mù, hai là giải cứu nhân viên bị mắc kẹt. Nhân viên tham gia gồm:\nĐại đội Tiên Phong Dạ Quy Đội Đặc Nhiệm (111162)\nTổ thám hiểm địa chất Academy\n……\nPhân tích kết quả điều tra về Sương Mù chưa biết:\nLần thám hiểm này đã thu thập mẫu vật Sương Mù trong đường hầm thông giữa Khu mỏ Hổ Khẩu và Hố Sâu Sương Mù, và sử dụng [Máy đo Phổ Đơn giản] mang theo trong đội để thực hiện kiểm thử phân tích tại chỗ. Theo kết quả kiểm thử lần này, chúng tôi suy đoán Sương Mù dường như là một thành phần sinh học, thành phần của nó tương tự phấn vảy trên cánh côn trùng thuộc Bộ Cánh vảy, biểu hiện đặc tính không độc, nhiệt độ thấp.\nChúng tôi phán định tính nguy hiểm của Sương Mù chủ yếu đến từ đặc tính nhiệt độ thấp của nó:\n①\tHơi nước ngưng tụ do nhiệt độ thấp sẽ gây cản trở tầm nhìn rất lớn, dẫn đến nhân viên điều tra mất phương hướng trong khu vực Sương Mù.\n②\tNhiệt độ thấp sẽ ảnh hưởng trực tiếp đến tình trạng sức khỏe của nhân viên điều tra, Hạ thân nhiệt kéo dài dẫn đến sức sống cơ thể suy giảm, không thể kịp thời ứng phó với nguy hiểm.\nTuy nhiên lần điều tra này chưa làm rõ được bản thể của âm thanh bất thường truyền ra từ trong Sương Mù, xét đến việc âm thanh lạ có thể khiến nhân viên gần đó Hoảng Loạn, ảnh hưởng đến hoạt động của Khu mỏ, đề nghị phong tỏa tình báo này.\n\n\nDưới đây là danh sách nhân viên mất tích gần đây:\nTrà Mông\nQuát Phố\nLặc Doãn\nTụng Ninh\n………………\n(Người thân của các nhân viên trên, gần đây dường như đều có Ảo thính ở các mức độ khác nhau. Nội dung Ảo thính là người mất tích gọi họ vào Hố Sâu Sương Mù tầng đáy Khu mỏ, nghi liên quan đến biến dị của Sương Mù. Vì Hố Sâu Sương Mù đang ở trạng thái phong tỏa, không thể điều tra thêm, đề nghị thông báo toàn bộ nhân viên tránh xa Sương Mù, tạm thời dừng công tác khai thác tại khu vực gần Hố Sâu Sương Mù.)",Mortefi's Reverberation Waveband,,,tên riêng (tự điền)
莫特斐的投影,Hình Chiếu Của Motfei,,,,tên riêng (tự điền)
莫特斐（通讯中）,Mortefi,,,,tên riêng (tự điền)
莫狄,Lingyang,,,,tên riêng (tự điền)
莫缇沙,Morticia,,,,tên riêng (tự điền)
莫西,Moxie,,,,tên riêng (tự điền)
莫迪,Modi,,,,tên riêng (tự điền)
莫迪利亚尼,Sinh Lực,,,,tên riêng (tự điền)
莫里亚蒂,666,,,,tên riêng (tự điền)
莫里沙,Sinh Lực,,,,tên riêng (tự điền)
莫里茨,Moritz,,,,tên riêng (tự điền)
莫里莎,Morrissa,,,,tên riêng (tự điền)
莫雅,Sinh Lực,,,,tên riêng (tự điền)
莫雷尼,Moreni,,,,tên riêng (tự điền)
莱丝特,Laster,,,,tên riêng (tự điền)
莱丽娅,Lailia,,,,tên riêng (tự điền)
莱伦,Lairen,,,,tên riêng (tự điền)
莱伦&索伦娜,Lairen & Sorena,,,,tên riêng (tự điền)
莱克特,Lecter,,,,tên riêng (tự điền)
莱克莎,Lexia,,,,tên riêng (tự điền)
莱利,Riley,,,,tên riêng (tự điền)
莱多,Leda,,,,tên riêng (tự điền)
莱夫,Leif,,,,tên riêng (tự điền)
莱妮,Lenny,,,,tên riêng (tự điền)
莱妮&少女,Lenny & Thiếu Nữ,,,,tên riêng (tự điền)
莱妮&神秘少女？,Lainey & Thiếu Nữ Bí Ẩn?,,,,tên riêng (tự điền)
莱娜娅,Lainaya,,,,tên riêng (tự điền)
莱恩,Laine,,,,tên riêng (tự điền)
莱托,8777,,,,tên riêng (tự điền)
莱拉,Lyla,,,,tên riêng (tự điền)
莱昂内尔,Lyonel,,,,tên riêng (tự điền)
莱昂哈特,Leonhart,,,,tên riêng (tự điền)
莱桑德,Lysander,,,,tên riêng (tự điền)
莱洛伊尔,Leloir,,,,tên riêng (tự điền)
莱玛,Lyma,,,,tên riêng (tự điền)
莱纳德,Leonard,,,,tên riêng (tự điền)
莱茵德斯,Rhindes,,,,tên riêng (tự điền)
莱莎,Laisa,,,,tên riêng (tự điền)
莱赫托,Lehto,,,,tên riêng (tự điền)
莱雯,Laiwen,,,,tên riêng (tự điền)
莲子,Speaker_246_Name,Lotus Head,,,tên riêng (tự điền)
获救的人,MAX,,,,tên riêng (tự điền)
获救的日灵,<ano=Soliskin>Nhật Linh</ano> được cứu,,,,tên riêng (tự điền)
莹莹,Oánh Oánh,,,,tên riêng (tự điền)
菈珐,Lafa,,,,tên riêng (tự điền)
菈莉娅,Laliah,,,,tên riêng (tự điền)
菡香,Hạm Hương,,,,tên riêng (tự điền)
菡香想看看雪云鹤的照片。,Hanxiang muốn xem <ano=Photo of the Snow Crane>Ảnh của Tuyết Vân Hạc</ano>.,Hanxian would like to see the picture of the Snow Crane.,,,tên riêng (tự điền)
菱果,Speaker_321_Name,Caltrop,,,tên riêng (tự điền)
菱果炒盐雀,<ano=Caltrop Sparrow>Chim Sẻ Xào Củ Ấu</ano>,Caltrop Sparrow,,,tên riêng (tự điền)
菱果炒盐雀食谱,"Xem ra, ngươi vẫn biết quá ít về <ano=Past>quá khứ</ano> của chính mình.",Recipe: Caltrop Sparrow,,,tên riêng (tự điền)
菲伦,Feren,,,,tên riêng (tự điền)
菲佛,Feyver,,,,tên riêng (tự điền)
菲兰德,Filander,,,,tên riêng (tự điền)
菲列克斯,Felix,,,,tên riêng (tự điền)
